id,username,date,text,hashtags,geo
901476517712207873,lentaminen,2017-08-26 16:08:45+00:00,A ground stop is in place at #IAH due to WX / HURRICANE #flightdelayhttp://r.delays.io/a/IAH,#IAH #flightdelayhttp,
901476003557634048,lentaminen,2017-08-26 16:06:42+00:00,"#IAH is currently experiencing delays averaging 3 hrs, 34 mins due to WX / HURRICANE #flightdelay http://r.delays.io/a/IAH",#IAH #flightdelay,
901474515674419200,lamontg39,2017-08-26 16:00:47+00:00,Let the games begin. Hurricane Harvey #hurricane #harvey #Texas @The Gilbert Marketing Group… https://www.instagram.com/p/BYQ0-CqBWWb/,#hurricane #harvey #Texas,
901470200490582019,quickr1,2017-08-26 15:43:38+00:00,"There may be a hurricane, but #Pearland still has #donuts ! #hurricaneharvey #pearlandfoodies @… https://www.instagram.com/p/BYQzC3mALbi/",#Pearland #donuts #hurricaneharvey #pearlandfoodies,
901467015247998978,TweetsByDM,2017-08-26 15:30:59+00:00,"Talked shit about the hurricane all night, knowing my luck we're all fucked now… https://www.instagram.com/p/BYQxlaWHWxC/",,
901465553944158208,Chef_Tune,2017-08-26 15:25:11+00:00,"Hurricane Harvey skillets @Richmond, Texas https://www.instagram.com/p/BYQw4l1AzKt/",,
901465441218031616,MegAnne,2017-08-26 15:24:44+00:00,"We got our hurricanes, and all karaoke songs were rain-related. @3sheetsbar @awduke4… https://www.instagram.com/p/BYQw3tSgg3M/",,
901465286552977408,NiaNia4875,2017-08-26 15:24:07+00:00,"Aye hurricane Harvey can u chill out? @Katy, Texas https://www.instagram.com/p/BYPXEpWnSwtUhCjk9AfJUj_2vsAULcMCdeKFiw0/ …",,
901464616215207936,egross,2017-08-26 15:21:27+00:00,"Affects of the hurricane where we are, so far. If we keep getting… https://www.instagram.com/p/BYQwgRPAXFH2FevjWshw9HYYUWVOeaOWV4yN940/ …",,
901460521660141568,bzygo,2017-08-26 15:05:11+00:00,"Don't look directly at Hurricane Harvey @Alief, Houston https://www.instagram.com/p/BYQum9ehIDj/",,
901459655758561286,GallerLindaRuth,2017-08-26 15:01:44+00:00,Super ER team! Nobody gets to go home because Hurricane Harvey is out and about!!! As long as… https://www.instagram.com/p/BYQuO_xBQ5x/,,
901458142634160129,cryswallbaby,2017-08-26 14:55:44+00:00,Hurricane Party this morning @mixfitzstudio! Come #leaveitonthefloor with me 11am! Be safe out… https://www.instagram.com/p/BYQtj8OnlEA/,#leaveitonthefloor,
901457714370445313,MissouriCityBL,2017-08-26 14:54:02+00:00,Hurricane Harvey rips roofs off Fort Bend County homes http://bubly.us/aIQb,,
901455363601567745,ai3mcgrady,2017-08-26 14:44:41+00:00,Hurricane Harvey @Fall Creek https://www.instagram.com/p/BYQsLLPlowF/,,
901455215592976386,haileyheck,2017-08-26 14:44:06+00:00,"Don't worry! Hurricane Harvey got nothing on us!! #hurricane #harvey #dogsofinstagram @Houston,… https://www.instagram.com/p/BYQsObNggpv/",#hurricane #harvey #dogsofinstagram,
901454215134011392,NailsLavish,2017-08-26 14:40:07+00:00,"Due to Hurricane Harvey, we will open at 1 pm today Saturday 08/26/2017. Please call us at… https://www.instagram.com/p/BYQrxdilWiD/",,
